timestamp,avg_latency,max_latency,latency_std,request_rate,error_rate,errors_per_window,endpoint_frequency,p95_latency,timeout_count,db_error_count,validation_errors,system_errors,in_anomaly_window,anomaly_score,is_anomaly
2026-04-11 14:39:00+00:00,22.93,25.01,2.08,2,0.0,0,2,24.802,0,0,0,0,0,0.4550163926902913,0
2026-04-11 14:45:30+00:00,1797.97,7023.52,3017.0813404762557,4,1.0,4,4,5984.681499999998,1,1,1,1,0,0.6991555036581036,1
2026-04-11 14:52:00+00:00,26.55333333333333,37.91,8.463885369944203,3,0.3333333333333333,1,2,36.534,0,1,0,0,0,0.5303616523157809,0
2026-04-11 14:54:30+00:00,21.715,24.04,2.3249999999999993,2,0.5,1,2,23.807499999999997,0,0,0,1,0,0.48041647956771355,0
2026-04-11 15:06:30+00:00,665.295,1272.78,607.4849999999999,2,0.0,0,2,1212.0314999999998,0,0,0,0,0,0.43553750014648857,0
2026-04-11 15:14:30+00:00,28.5478125,63.36,12.347619895746861,64,0.5,32,4,55.48399999999998,0,0,16,16,0,0.5999218582921837,0
2026-04-11 15:15:00+00:00,27.15862385321101,63.37,10.655736402975922,109,0.4954128440366973,54,4,49.852,0,0,27,27,0,0.6815615146941199,1
2026-04-11 15:15:30+00:00,29.0662962962963,68.1,12.66377339709414,27,0.5185185185185185,14,4,51.108,0,0,7,7,0,0.5510798740507202,0
2026-04-11 15:19:30+00:00,727.45,1433.49,706.0400000000001,2,0.0,0,2,1362.886,0,0,0,0,0,0.44930997606225925,0
2026-04-11 15:20:00+00:00,415.55090909090904,1412.55,557.7699174953862,11,0.0,0,2,1382.505,0,0,0,0,0,0.37978588024185617,0
2026-04-11 15:20:30+00:00,226.11250000000004,985.81,360.6382122738567,12,0.08333333333333333,1,4,926.2945,0,0,0,1,0,0.4216453776638623,0
2026-04-11 15:21:00+00:00,262.9027272727273,1480.18,520.0498382950848,11,0.0,0,2,1360.785,0,0,0,0,0,0.37520458954948543,0
2026-04-11 15:21:30+00:00,83.66166666666666,781.77,210.54394263563023,12,0.08333333333333333,1,3,371.4259999999994,0,0,1,0,0,0.4054120611674222,0
2026-04-11 15:22:00+00:00,108.17384615384616,1178.46,308.9680440667576,13,0.0,0,2,484.3259999999984,0,0,0,0,0,0.3998576391503155,0
2026-04-11 15:22:30+00:00,222.49272727272728,1254.0,436.0619879431428,11,0.18181818181818182,2,3,1141.95,0,0,0,2,0,0.41067865255454006,0
2026-04-11 15:23:00+00:00,64.14769230769231,586.54,150.87122686143488,13,0.15384615384615385,2,4,255.84999999999923,0,0,0,2,0,0.44563213393190576,0
2026-04-11 15:23:30+00:00,589.731,5061.6,1503.9335425839138,10,0.1,1,2,3093.5159999999955,1,0,0,0,0,0.4445848144255862,0
2026-04-11 15:24:00+00:00,676.4309999999999,5023.01,1483.0596013812124,10,0.1,1,2,3183.0814999999957,1,0,0,0,0,0.44571111489340537,0
2026-04-11 15:24:30+00:00,142.13833333333335,1493.21,407.3664418725343,12,0.0,0,2,684.786999999999,0,0,0,0,0,0.3837633193103679,0
2026-04-11 15:25:00+00:00,172.42416666666668,986.45,342.54137069990867,12,0.25,3,3,932.0935,0,0,0,3,0,0.4394811803450652,0
2026-04-11 15:25:30+00:00,688.8944444444445,6023.45,1886.069874533998,9,0.1111111111111111,1,3,3632.493999999998,1,0,0,0,0,0.4427387420923457,0
2026-04-11 15:26:00+00:00,342.0566666666667,1481.51,564.0583947803829,12,0.08333333333333333,1,3,1448.752,0,0,1,0,0,0.41977832935182924,0
2026-04-11 15:26:30+00:00,523.556,5041.6,1506.0337997282797,10,0.1,1,3,2792.661999999995,1,0,0,0,0,0.4588542164875497,0
2026-04-11 15:27:00+00:00,1099.06875,6024.06,1943.1683150362808,8,0.125,1,2,4388.810999999998,1,0,0,0,0,0.4948808538995414,0
2026-04-11 15:27:30+00:00,1837.8175,7027.67,2767.775279126495,8,0.375,3,3,6684.487999999999,2,0,0,1,0,0.5996669979566642,0
2026-04-11 15:28:00+00:00,1764.9714285714285,6031.49,2431.6576024445817,7,0.42857142857142855,3,3,5732.521999999999,2,0,0,1,0,0.5783521638967701,0
2026-04-11 15:28:30+00:00,281.48181818181814,1444.62,462.0784993880306,11,0.0,0,2,1150.3249999999998,0,0,0,0,0,0.372939494777414,0
2026-04-11 15:29:00+00:00,86.14416666666666,682.49,180.13704770990026,12,0.08333333333333333,1,3,342.4799999999996,0,0,0,1,0,0.38108059532386535,0
2026-04-11 15:29:30+00:00,36.91363636363636,71.36,14.265571570442068,11,0.2727272727272727,3,3,63.015,0,0,2,1,0,0.46186341041768547,0
2026-04-11 15:30:00+00:00,902.18,7071.06,2194.9755581225854,9,0.6666666666666666,6,5,4572.279999999998,1,0,1,4,1,0.5840710533578266,0
2026-04-11 15:30:30+00:00,817.0944444444444,7072.53,2211.7087120399874,9,0.4444444444444444,4,5,4277.565999999997,1,0,1,2,1,0.5656050604431613,0
2026-04-11 15:31:00+00:00,363.8590909090909,1389.24,530.9132516104088,11,0.7272727272727273,8,3,1305.935,0,0,1,7,1,0.5164342462300688,0
2026-04-11 15:31:30+00:00,657.9133333333334,5054.04,1563.5499360678502,9,0.5555555555555556,5,4,3266.3759999999984,1,0,1,3,1,0.5469843492540498,0
2026-04-11 15:32:00+00:00,833.87,6055.39,1878.5029990571395,9,0.1111111111111111,1,3,4095.525999999999,1,0,0,0,0,0.4458285187162331,0
2026-04-11 15:32:30+00:00,866.688888888889,6053.09,1858.8688973581307,9,0.1111111111111111,1,2,3952.193999999998,1,0,0,0,0,0.4514892524173356,0
2026-04-11 15:33:00+00:00,403.9890909090909,1408.62,520.0941127326607,11,0.0,0,3,1272.7399999999998,0,0,0,0,0,0.3913137543226517,0
2026-04-11 15:33:30+00:00,140.8090909090909,1225.95,343.215161814238,11,0.09090909090909091,1,3,638.9,0,0,0,1,0,0.37747080395388,0
